label,decode_idx,elapsed_sec,throughput,running_req,queue_req,token_usage
non_provision,0,0.0,395.84,128,0,0.01
non_provision,1,1.0,6228.44,128,0,0.02
non_provision,2,2.0,6252.17,128,0,0.03
non_provision,3,3.0,6244.92,128,0,0.04
non_provision,4,3.0,6285.0,128,0,0.06
non_provision,5,4.0,6260.64,127,0,0.07
non_provision,6,5.0,6112.99,123,0,0.07
non_provision,7,6.0,5920.26,116,0,0.08
non_provision,8,7.0,5460.61,108,0,0.08
non_provision,9,8.0,5034.54,98,0,0.08
non_provision,10,8.0,4631.26,91,0,0.08
non_provision,11,9.0,4342.9,85,0,0.09
non_provision,12,10.0,4135.9,82,0,0.09
non_provision,13,11.0,3960.81,76,0,0.09
non_provision,14,12.0,3639.16,69,0,0.09
non_provision,15,12.0,3081.45,59,0,0.08
non_provision,16,13.0,2960.26,58,0,0.08
non_provision,17,14.0,2807.47,55,0,0.08
non_provision,18,15.0,2467.83,50,0,0.08
non_provision,19,16.0,2444.82,45,0,0.07
non_provision,20,16.0,2086.02,40,0,0.07
non_provision,21,17.0,1947.92,35,0,0.06
non_provision,22,18.0,1605.52,30,0,0.06
non_provision,23,19.0,1482.72,28,0,0.06
non_provision,24,20.0,1340.73,25,0,0.05
non_provision,25,20.0,1294.28,25,0,0.06
non_provision,26,21.0,1260.99,23,0,0.05
non_provision,27,22.0,1189.46,23,0,0.05
non_provision,28,23.0,1174.34,22,0,0.05
non_provision,29,23.0,1098.54,21,0,0.05
non_provision,30,24.0,1047.86,21,0,0.06
non_provision,31,25.0,954.78,18,0,0.05
non_provision,32,26.0,888.34,17,0,0.05
non_provision,33,27.0,879.84,17,0,0.05
non_provision,34,27.0,852.07,17,0,0.05
non_provision,35,28.0,836.44,16,0,0.05
non_provision,36,29.0,820.13,16,0,0.05
non_provision,37,30.0,820.68,16,0,0.05
non_provision,38,30.0,823.88,16,0,0.05
non_provision,39,31.0,762.92,14,0,0.05
non_provision,40,32.0,724.35,14,0,0.05
non_provision,41,33.0,681.11,13,0,0.05
non_provision,42,34.0,674.29,13,0,0.05
non_provision,43,34.0,672.18,13,0,0.05
non_provision,44,35.0,667.4,12,0,0.05
non_provision,45,36.0,623.2,12,0,0.05
non_provision,46,37.0,620.28,12,0,0.05
non_provision,47,37.0,620.25,12,0,0.05
non_provision,48,38.0,621.95,12,0,0.05
non_provision,49,39.0,572.85,11,0,0.05
non_provision,50,40.0,569.26,11,0,0.05
non_provision,51,41.0,568.96,11,0,0.05
non_provision,52,41.0,568.16,11,0,0.05
non_provision,53,42.0,569.3,11,0,0.05
non_provision,54,43.0,569.99,11,0,0.05
non_provision,55,44.0,569.89,11,0,0.05
non_provision,56,44.0,569.4,11,0,0.05
non_provision,57,45.0,541.83,10,0,0.05
non_provision,58,46.0,477.79,9,0,0.04
non_provision,59,47.0,460.44,9,0,0.05
non_provision,60,48.0,461.69,9,0,0.05
non_provision,61,48.0,461.58,9,0,0.05
non_provision,62,49.0,462.13,9,0,0.05
non_provision,63,50.0,461.88,9,0,0.05
non_provision,64,51.0,461.81,9,0,0.05
non_provision,65,51.0,428.31,8,0,0.04
non_provision,66,52.0,393.84,7,0,0.04
non_provision,67,53.0,360.22,7,0,0.04
non_provision,68,54.0,359.82,7,0,0.04
non_provision,69,55.0,359.51,7,0,0.04
non_provision,70,55.0,345.69,6,0,0.04
non_provision,71,56.0,308.25,6,0,0.04
non_provision,72,57.0,308.42,6,0,0.04
non_provision,73,58.0,305.8,6,0,0.04
non_provision,74,58.0,305.65,6,0,0.04
non_provision,75,59.0,304.85,6,0,0.04
non_provision,76,60.0,301.28,5,0,0.03
non_provision,77,61.0,229.4,4,0,0.03
non_provision,78,62.0,202.23,4,0,0.03
